Lemma,Sense Key,Definition,Frequency,Correct Translation?,Correct Definition?,Notes
attá,have%2:40:00::,"have or possess, either in a concrete or an abstract sense",5,,0,"This is the substantive verb. It does not mean 'to have'."
adtreba,have%2:40:00::,"have or possess, either in a concrete or an abstract sense",2,,1,
is,have%2:40:00::,"have or possess, either in a concrete or an abstract sense",2,,0,"This is the copula. It does not mean 'have'."
aimser,time%1:11:00::,an instance or single occasion for some event,4,,1,
cían,time%1:11:00::,an instance or single occasion for some event,3,"a long time, period",0,"It specifically means a long period of time, not a single point or instance."
fecht,time%1:11:00::,an instance or single occasion for some event,2,,1,
lechdach,liquid%1:27:04::,a substance that is liquid at room temperature and pressure,2,,0,"It means 'liquid' in the grammatical sense. I can't find it attested in the sense 'a state of matter'."
aimserad,temporalty%1:21:00::,the worldly possessions of a church,3,"period, duration",0,"It means temporality in the sense of a 'period of time', or 'duraton'."
emid,entirely%4:02:02::,without any others being included or involved,2,"as, such as, as much, not only",0,
coitchenn,common%3:00:01::,having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual,13,"common, general, usual, ordinary",1,
gair,shortness%1:07:02::,the property of being of short temporal extent,2,,1,
dofúarat,stay%2:30:00::,stay the same; remain in a certain state,2,,,
mút,mute%1:18:00::,a deaf person who is unable to speak,4,,,
litrid,writer%1:18:00::,writes (books or stories or articles or the like) professionally (for pay),2,,,
atac,writer%1:18:00::,writes (books or stories or articles or the like) professionally (for pay),2,,,
doinscanna,begin%2:42:00::,"have a beginning, in a temporal, spatial, or evaluative sense",3,,,
machdad,wonder%1:11:00::,something that causes feelings of wonder,5,,,
laiten,romance%3:01:00::,relating to languages derived from Latin,2,,,
comroircnech,erroneous%5:00:00:incorrect:00,containing or characterized by error,2,,,
tinfed,aspiration%1:07:00::,a will to succeed,2,,,
tinfed,ambition%1:12:00::,a cherished desire,4,,,
sain,different%3:00:00::,unlike in nature or quality or form or degree,15,,,
fodáli,distinguish%2:31:00::,mark as different,2,,,
mút,mute%1:06:00::,a device used to soften the tone of a musical instrument,4,,,
scríbaid,write%2:32:00::,communicate or express by writing,4,,,
da_1 doíarmorat,follow%2:42:02::,be next,2,,,"There seems to be an infixed pronoun added into this entry."
nihelas,nothingness%1:26:00::,the state of nonexistence,2,,,
is,let%2:41:00::,make it possible through a specific action or lack of action for something to happen,6,,0,"This is the copula. It does not mean 'let'."
óa,liver%1:08:00::,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes,2,,,
lín laiten,latin%3:01:00::,of or relating to the ancient Latins or the Latin language,2,,,
forbeir,increase%2:30:00::,become bigger or greater in amount,4,,,
áirem,number%1:07:00::,the property possessed by a sum or total or indefinite quantity of units or individuals,2,,,
aiccidit,accident%1:11:00::,anything that happens suddenly or by chance without an apparent cause,6,,,
tecmang,accident%1:11:00::,anything that happens suddenly or by chance without an apparent cause,2,,,
foilsigidir,attest%2:32:01::,"provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes",2,,,
óg,complete%3:00:00::,having every necessary or normal part or component or step,2,,,
suidiugud,position%1:15:00::,the particular portion of space occupied by something,2,,,
forcomai,continue%2:42:00::,keep or maintain in unaltered condition; cause to remain or last,6,,1,
recht,law%1:09:00::,a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society,2,,,
cotarsnae,contrary%5:00:00:different:00,very opposed in nature or character or purpose,4,,,
beirid,bring%2:38:00::,take something or somebody with oneself somewhere,2,,,
oentam,bachelor%1:18:00::,a man who has never been married,2,,,
sulbaire,eloquence%1:10:00::,powerful and effective language,3,,,
suidigidir,put%2:35:00::,put into a certain place or abstract location,3,,,
foceird,put%2:35:00::,put into a certain place or abstract location,2,,,
tíarmóracht,postposition%1:10:00::,(linguistics) the placing of one linguistic element after another (as placing a modifier after the word that it modifies in a sentence or placing an affix after the base to which it is attached),2,,,
aiccidit,accident%1:11:01::,an unfortunate mishap; especially one causing damage or injury,3,,,
folad,message%1:10:00::,content communicating a message; what something is about,21,,,
in incoisig,mean%2:32:03::,denote or connote,3,,,"It is strange that the preverb is repeated for this entry."
do dofoirndea,mean%2:32:03::,denote or connote,2,,,"It is strange that the preverb is repeated for this entry."
folad cétnae,same%3:00:02::,same in identity,6,,,
inunn,same%3:00:00::,closely similar or comparable in kind or quality or quantity or degree,7,,,
sluindid,carry%2:32:02::,serve as a means for expressing something,4,,,
fordingair,express%2:32:01::,give expression to,2,,,
coibnius,affinity%1:07:01::,inherent resemblance between persons or things,2,,,
tinfed,inhalation%1:04:00::,the act of inhaling; the drawing in of air (or other gases) as in breathing,3,,,
dead,end%1:11:00::,the final stage or concluding parts of an event or occurrence,7,,,
cenél,state%1:14:00::,a politically organized body of people under a single government,6,"race, nation, kindred, kind, sort, type, grammatical gender",0,"It means 'nation' in the historical sense of a collection of people living in an area, who share broadly comparable customs and culture, and who perhaps also claim some shared ancestry (real or mythological). It does not mean 'nation' in the sense of the modern nation state. This would be an anachronism."
medóndae,intermediate%3:00:00::,lying between two extremes in time or space or state,3,,,
cosmailius,resemblance%1:07:00::,similarity in appearance or external or superficial details,4,,,
asbeir,name%2:32:03::,assign a specified (usually proper) name to,6,,,
seircid,become%2:30:00::,enter or assume a certain state or condition,2,,,
cumscugud,change%1:11:00::,an event that occurs when something passes from one state or phase to another,7,,,
fodaim,suffer%2:39:01::,undergo or be subjected to,3,,,
emid,equally%4:02:01::,to the same degree (often followed by ‘as’),2,"as, such as, as much, not only",0,
ol,state%2:32:00::,express in words,3,,1,
desimrecht,example%1:09:00::,an item of information that is typical of a class or group,13,,,
engracus,stead%1:04:00::,the post or function properly or customarily occupied or served by another,2,,,
ainm,stead%1:04:00::,the post or function properly or customarily occupied or served by another,2,,,
engraic,stead%1:04:00::,the post or function properly or customarily occupied or served by another,2,,,
crann,tree%1:20:00::,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,8,,,
fid,tree%1:20:00::,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,5,,,
becc,little%3:00:03::,(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with ‘a’) at least some,4,,1,"The definition refers specifically to English syntax, '(with ‘a’), but is otherwise accurate'."
athair,father%1:18:00::,a male parent (also used as a term of address to your father),10,,1,
